Timestamp,Value
2025-04-11 23:37:25.784,1981
2025-04-11 23:37:25.838,1925
2025-04-11 23:37:25.838,1897
2025-04-11 23:37:25.838,1943
2025-04-11 23:37:25.888,1958
2025-04-11 23:37:25.889,1952
2025-04-11 23:37:25.889,1995
2025-04-11 23:37:25.943,2007
2025-04-11 23:37:25.943,2026
2025-04-11 23:37:26.005,1952
2025-04-11 23:37:26.005,1952
2025-04-11 23:37:26.005,1952
2025-04-11 23:37:26.055,1953
2025-04-11 23:37:26.056,1926
2025-04-11 23:37:26.056,1991
2025-04-11 23:37:26.116,1986
2025-04-11 23:37:26.117,1977
2025-04-11 23:37:26.174,1953
2025-04-11 23:37:26.174,1946
2025-04-11 23:37:26.175,1919
2025-04-11 23:37:26.223,1942
2025-04-11 23:37:26.223,1924
2025-04-11 23:37:26.223,1985
2025-04-11 23:37:26.272,1987
2025-04-11 23:37:26.272,2000
2025-04-11 23:37:26.336,1910
2025-04-11 23:37:26.337,1967
2025-04-11 23:37:26.337,1925
2025-04-11 23:37:26.395,1959
2025-04-11 23:37:26.395,1934
2025-04-11 23:37:26.395,1988
2025-04-11 23:37:26.457,1950
2025-04-11 23:37:26.458,1978
2025-04-11 23:37:26.495,1936
2025-04-11 23:37:26.496,1918
2025-04-11 23:37:26.497,1923
2025-04-11 23:37:26.567,1976
2025-04-11 23:37:26.567,1950
2025-04-11 23:37:26.567,1973
2025-04-11 23:37:26.619,1983
2025-04-11 23:37:26.619,1978
2025-04-11 23:37:26.664,1921
2025-04-11 23:37:26.664,1937
2025-04-11 23:37:26.666,1927
2025-04-11 23:37:26.727,1961
2025-04-11 23:37:26.727,1991
2025-04-11 23:37:26.727,1941
2025-04-11 23:37:26.774,1953
2025-04-11 23:37:26.774,2013
2025-04-11 23:37:26.832,2000
2025-04-11 23:37:26.833,1954
2025-04-11 23:37:26.833,1972
2025-04-11 23:37:26.896,1972
2025-04-11 23:37:26.896,1993
2025-04-11 23:37:26.896,1950
2025-04-11 23:37:26.949,1975
2025-04-11 23:37:27.001,1985
2025-04-11 23:37:27.001,1981
2025-04-11 23:37:27.001,1969
2025-04-11 23:37:27.002,1945
2025-04-11 23:37:27.064,1963
2025-04-11 23:37:27.075,1968
2025-04-11 23:37:27.076,1927
2025-04-11 23:37:27.124,1917
2025-04-11 23:37:27.124,1954
2025-04-11 23:37:27.176,1980
2025-04-11 23:37:27.176,1973
